ownerid,parcelid,name,address1,address2,city,StateCode,PostalCode,CountryCode,DateAcquired,OwnDoc,SalePrice,Status,Instrument,InstrumentType,url,sortdate
39675586,481018,O.I.C. 908 HOSPITAL DRIVE,,,,TN,,US,12/31/25,MA-20251231 0104556,,Active,MA-20251231 0104556,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512310104556,1.77E+12
39675411,481010,O.I.C. 60 CREIGHTON AVENUE,,,,TN,,US,12/29/25,MA-20251230 0103562,,Active,MA-20251230 0103562,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512300103562,1.77E+12
39675534,481012,O.I.C. HOMES AT 6413 RANCHERO DRIVE,,,,,,US,12/29/25,MA-20251229 0102762,,Active,MA-20251229 0102762,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512290102762,1.77E+12
39675537,481015,O.I.C. THIRTYTHREE-SIX CURTIS STREET ,,,,,,US,12/23/25,MA-20251229 0102660,,Active,MA-20251229 0102660,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512290102660,1.77E+12
39675283,480983,O.I.C. WESTBOURNE,,,,TN,,US,12/18/25,MA-20251229 0103075,,Active,MA-20251229 0103075,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512290103075,1.77E+12
39675358,480989,O.I.C. HOMES AT 412 E BEND DRIVE,,,,,,US,12/18/25,MA-20251223 0102246,,Active,MA-20251223 0102246,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512230102246,1.77E+12
39672357,480776,O.I.C. HOMES AT 945 INVERNESS AVENUE,,,,TN,,US,12/17/25,MA-20251218 0100728,,Active,MA-20251218 0100728,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512180100728,1.77E+12
39675303,480985,O.I.C. CHESTNUT STREET MASTER CONDOMINIUM,,,,,,US,12/17/25,MA-20251223 0102066,,Active,MA-20251223 0102066,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512230102066,1.77E+12
39676009,481061,O.I.C. HOMES AT 116 SADLER COURT,,,,TN,,US,12/17/25,MA-20260107 0001365,,Active,MA-20260107 0001365,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202601070001365,1.77E+12
39672233,480770,O.I.C.  HOMES AT 3713 VILLAGE TRAIL,,,,TN,,US,12/16/25,MA-20251217 0100451,,Active,MA-20251217 0100451,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512170100451,1.77E+12
39672352,480773,O.I.C. HOMES AT 1008 POTTER LANE,,,,TN,,US,12/15/25,MA-20251218 0100688,,Active,MA-20251218 0100688,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512180100688,1.77E+12
39675707,481031,O.I.C. SIXHUNDREDELEVEN GREEN LANE,,,,TN,,US,12/15/25,MA-20260105 0000466,0,Active,MA-20260105 0000466,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202601050000466,1.77E+12
39671945,480724,O.I.C. HOMES AT 610 AND 612 BASSWOOD AVENUE,,,,TN,,US,12/12/25,MA-20251215 0099422,,Active,MA-20251215 0099422,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512150099422,1.77E+12
39675408,481007,O.I.C. SSE LUXURY TOWNHOMES,,,,TN,,US,12/12/25,MA-20251230 0103530,,Active,MA-20251230 0103530,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512300103530,1.77E+12
39671951,480727,O.I.C. THREETWENTYNINE QUEEN AVENUE,,,,TN,,US,12/11/25,MA-20251215 0099601,,Active,MA-20251215 0099601,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512150099601,1.77E+12
39671735,480715,O.I.C. HOMES AT 1119 38TH AVE N,,,,TN,,US,12/10/25,MA-20251211 0098751,,Active,MA-20251211 0098751,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512110098751,1.77E+12
39671624,480709,O.I.C. PORTER STREET HOTEL AND RESIDENCES MASTER CONDOMINIUM,,,,TN,,US,12/9/25,MA-20251210 0098069,,Active,MA-20251210 0098069,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512100098069,1.77E+12
39674414,480841,O.I.C. CATO COTTAGES PHASE 2,,,,TN,,US,12/9/25,MA-20251211 0098656,,Active,MA-20251211 0098656,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512110098656,1.77E+12
39671739,480718,O.I.C. FOURTEEN TWENTY ONE ROSEBANK AVENUE,,,,TN,,US,12/8/25,MA-20251212 0099281,,Active,MA-20251212 0099281,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512120099281,1.77E+12
39671506,480702,O.I.C. HOMES AT 541 RIVER ROUGE DRIVE,,,,TN,,US,12/1/25,MA-20251209 0097847,,Active,MA-20251209 0097847,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512090097847,1.76E+12
39671512,480705,O.I.C. 557 MOORE AVE HOMES,,,,TN,,US,12/1/25,MA-20251209 0097794,,Active,MA-20251209 0097794,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512090097794,1.76E+12
39663354,480389,O.I.C. HOMES AT 2697 BARCLAY DRIVE,146 SOUTHRIDGE DR,,NASHVILLE,TN,37207,US,11/26/25,MA-20251126 0094305,,Active,MA-20251126 0094305,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511260094305,1.76E+12
